Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Sat, 12 Jun 1999",ST,,SAM v FRA,22-39,1:5,0-5,Apia,
"Wed, 16 Jun 1999",ST,,TON v FRA,20-16,3:1,4-1,Nuku A'lofa,
"Fri, 18 Jun 1999",,,NZL v SAM,71-13,9:1,5-0,Albany,
"Sat, 19 Jun 1999",ST,,SAF v ITA,101-0,15:0,5-0,"Kings Park Stadium, Durban",
"Sat, 19 Jun 1999",ST,,AUS v IRE,32-26,2:3,4-1,"Subiaco Oval, Perth_AUS",
"Sat, 26 Jun 1999","ST,CC",a,AUS v ENG,22-15,4:2,5-1,"Stadium Australia, Sydney",
"Sat, 26 Jun 1999",ST,,NZL v FRA,54-7,7:1,5-0,"Athletic Park, Wellington",
"Sat, 26 Jun 1999",,,WAL v SAF,29-19,2:2,4-0,"Millennium Stadium, Cardiff",
"Sat, 10 Jul 1999",3N,,NZL v SAF,28-0,3:0,4-0,"Carisbrook, Dunedin",
"Sat, 17 Jul 1999",3N,,AUS v SAF,32-6,4:0,5-0,"Lang Park, Brisbane",
"Sat, 24 Jul 1999","3N,BC",a,NZL v AUS,34-15,1:2,4-0,"Eden Park, Auckland",
"Sat, 07 Aug 1999",3N,,SAF v NZL,18-34,2:2,0-4,"Loftus Versfeld, Pretoria",
"Sat, 14 Aug 1999",3N,,SAF v AUS,10-9,1:0,4-1,"Newlands, Cape Town",
"Sat, 21 Aug 1999",WU,,SCO v ARG,22-31,3:3,0-4,"Murrayfield, Edinburgh",
"Sat, 21 Aug 1999",WU,,WAL v CAN,33-19,2:1,4-0,"Millennium Stadium, Cardiff",
"Sat, 21 Aug 1999",WU,,ENG v USA,106-8,16:1,5-0,"Twickenham, London",
"Sat, 28 Aug 1999",WU,,IRE v ARG,32-24,4:3,5-0,"Lansdowne Rd, Dublin",
"Sat, 28 Aug 1999",WU,,SCO v ROM,60-19,8:1,5-0,"Hampden Park, Glasgow",
"Sat, 28 Aug 1999",WU,,WAL v FRA,34-23,1:2,4-0,"Millennium Stadium, Cardiff",
"Sat, 28 Aug 1999",WU,,ENG v CAN,36-11,5:1,5-0,"Twickenham, London",
"Sat, 28 Aug 1999",WU,,ITA v FIJ,32-50,3:5,0-5,L'Aquila,
"Sat, 28 Aug 1999","3N,BC",a,AUS v NZL,28-7,1:1,4-0,"Stadium Australia, Sydney",
"Fri, 01 Oct 1999",WC,Pool D,WAL v ARG,23-18,2:0,4-1,"Millennium Stadium, Cardiff",
"Fri, 01 Oct 1999",WC,Pool C,FIJ v NAM,67-18,9:2,5-0,"Stade Mediterranee, Beziers",Y
"Sat, 02 Oct 1999",WC,Pool E,IRE v USA,53-8,7:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 02 Oct 1999",WC,Pool B,ENG v ITA,67-7,8:1,5-0,"Twickenham, London",
"Sat, 02 Oct 1999",WC,Pool C,FRA v CAN,33-20,4:2,5-0,"Stade Mediterranee, Beziers",
"Sat, 02 Oct 1999",WC,Pool A,SPA v URU,15-27,0:3,0-4,Galashiels,Y
"Sun, 03 Oct 1999",WC,Pool A,SCO v SAF,29-46,2:6,0-5,"Murrayfield, Edinburgh",
"Sun, 03 Oct 1999",WC,Pool E,AUS v ROM,57-9,9:0,5-0,"Ravenhill, Belfast",Y
"Sun, 03 Oct 1999",WC,Pool B,NZL v TON,45-9,5:0,5-0,"Ashton Gate, Bristol",Y
"Sun, 03 Oct 1999",WC,Pool D,SAM v JAP,43-9,5:0,5-0,Wrexham,Y
"Fri, 08 Oct 1999",WC,Pool A,SCO v URU,43-12,6:0,5-0,"Murrayfield, Edinburgh",
"Fri, 08 Oct 1999",WC,Pool C,FRA v NAM,47-13,6:1,5-0,"Stade Municipal, Bordeaux",
"Sat, 09 Oct 1999",WC,Pool D,WAL v JAP,64-15,9:2,5-0,"Millennium Stadium, Cardiff",
"Sat, 09 Oct 1999",WC,Pool B,ENG v NZL,16-30,1:3,0-4,"Twickenham, London",
"Sat, 09 Oct 1999",WC,Pool C,FIJ v CAN,38-22,4:1,5-0,"Stade Municipal, Bordeaux",Y
"Sat, 09 Oct 1999",WC,Pool E,USA v ROM,25-27,3:4,1-5,"Lansdowne Rd, Dublin",Y
"Sun, 10 Oct 1999",WC,Pool E,IRE v AUS,3-23,0:2,0-4,"Lansdowne Rd, Dublin",
"Sun, 10 Oct 1999",WC,Pool A,SAF v SPA,47-3,7:0,5-0,"Murrayfield, Edinburgh",Y
"Sun, 10 Oct 1999",WC,Pool D,ARG v SAM,32-16,1:1,4-0,Llanelli,Y
"Sun, 10 Oct 1999",WC,Pool B,ITA v TON,25-28,1:3,1-4,"Welford Rd, Leicester",Y
"Thu, 14 Oct 1999",WC,Pool D,WAL v SAM,31-38,3:5,1-5,"Millennium Stadium, Cardiff",
"Thu, 14 Oct 1999",WC,Pool E,AUS v USA,55-19,8:1,5-0,"Thomond Park, Limerick",Y
"Thu, 14 Oct 1999",WC,Pool B,NZL v ITA,101-3,14:0,5-0,"McAlpine Stdm, Huddersfield",Y
"Thu, 14 Oct 1999",WC,Pool C,CAN v NAM,72-11,9:1,5-0,Stade Toulouse,Y
"Fri, 15 Oct 1999",WC,Pool E,IRE v ROM,44-14,5:1,5-0,"Lansdowne Rd, Dublin",
"Fri, 15 Oct 1999",WC,Pool B,ENG v TON,101-10,13:1,5-0,"Twickenham, London",
"Fri, 15 Oct 1999",WC,Pool A,SAF v URU,39-3,5:0,5-0,"Hampden Park, Glasgow",Y
"Sat, 16 Oct 1999",WC,Pool A,SCO v SPA,48-0,7:0,5-0,"Murrayfield, Edinburgh",
"Sat, 16 Oct 1999",WC,Pool C,FRA v FIJ,28-19,3:1,4-0,Stade Toulouse,
"Sat, 16 Oct 1999",WC,Pool D,ARG v JAP,33-12,2:0,4-0,"Millennium Stadium, Cardiff",Y
"Wed, 20 Oct 1999",WC,QFpo,SCO v SAM,35-20,3:2,4-0,"Murrayfield, Edinburgh",
"Wed, 20 Oct 1999",WC,QFpo,ENG v FIJ,45-24,4:3,5-0,"Twickenham, London",
"Wed, 20 Oct 1999",WC,QFpo,IRE v ARG,24-28,0:1,1-4,Lens,Y
"Sat, 23 Oct 1999",WC,Quart,WAL v AUS,9-24,0:3,0-4,"Millennium Stadium, Cardiff",
"Sun, 24 Oct 1999",WC,Quart,SCO v NZL,18-30,2:4,0-5,"Murrayfield, Edinburgh",
"Sun, 24 Oct 1999",WC,Quart,FRA v ARG,47-26,5:2,5-0,"Lansdowne Rd, Dublin",Y
"Sun, 24 Oct 1999",WC,Quart,ENG v SAF,21-44,0:2,0-4,"Stade de France, Paris",Y
"Sat, 30 Oct 1999",WC,Semi,AUS v SAF,27-21,0:0,4-1,"Twickenham, London",Y
"Sun, 31 Oct 1999",WC,Semi,NZL v FRA,31-43,3:4,0-5,"Twickenham, London",Y
"Thu, 04 Nov 1999",WC,3&4,NZL v SAF,18-22,0:1,1-4,"Millennium Stadium, Cardiff",Y
"Sat, 06 Nov 1999",WC,Final,AUS v FRA,35-12,2:0,4-0,"Millennium Stadium, Cardiff",Y
"Sat, 05 Feb 2000",6N,1,ITA v SCO,34-20,1:2,4-0,"Stadio Flaminio, Rome",
"Sat, 05 Feb 2000",6N,1,WAL v FRA,3-36,0:3,0-4,"Millennium Stadium, Cardiff",
"Sat, 05 Feb 2000",6N,1,ENG v IRE,50-18,6:2,5-0,"Twickenham, London",
"Sat, 19 Feb 2000",6N,2,IRE v SCO,44-22,5:3,5-0,"Lansdowne Rd, Dublin",
"Sat, 19 Feb 2000",6N,2,WAL v ITA,47-16,4:1,5-0,"Millennium Stadium, Cardiff",
"Sat, 19 Feb 2000",6N,2,FRA v ENG,9-15,0:0,1-4,"Stade de France, Paris",
"Sat, 04 Mar 2000",6N,3,IRE v ITA,60-13,6:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 04 Mar 2000",6N,3,SCO v FRA,16-28,1:3,0-4,"Murrayfield, Edinburgh",
"Sat, 04 Mar 2000",6N,3,ENG v WAL,46-12,5:0,5-0,"Twickenham, London",
"Sat, 18 Mar 2000",6N,4,ITA v ENG,12-59,2:8,0-5,"Stadio Flaminio, Rome",
"Sat, 18 Mar 2000",6N,4,WAL v SCO,26-18,2:2,4-0,"Millennium Stadium, Cardiff",
"Sun, 19 Mar 2000",6N,4,FRA v IRE,25-27,1:3,1-4,"Stade de France, Paris",
"Sat, 01 Apr 2000",6N,5,IRE v WAL,19-23,1:2,1-4,"Lansdowne Rd, Dublin",
"Sat, 01 Apr 2000",6N,5,FRA v ITA,42-31,5:4,5-1,"Stade de France, Paris",
"Sun, 02 Apr 2000","6N,CA",5,SCO v ENG,19-13,1:1,4-1,"Murrayfield, Edinburgh",
"Sun, 28 May 2000",,,ROM v FRA,20-67,03:10,0-5,Bucharest,
"Sat, 03 Jun 2000",ST,,ARG v IRE,34-23,3:4,4-1,"FC Oeste, Buenos Aires",
"Sat, 10 Jun 2000",ST,,SAF v CAN,51-18,8:2,5-0,East_London,
"Sat, 10 Jun 2000",,,USA v IRE,3-83,00:13,0-5,Manchester_USA,
"Fri, 16 Jun 2000",,,NZL v TON,102-0,15:0,5-0,Albany,
"Sat, 17 Jun 2000",TO,,AUS v ARG,53-6,9:0,5-0,"Ballymore, Brisbane",
"Sat, 17 Jun 2000",ST,,SAF v ENG,18-13,0:1,4-1,"Loftus Versfeld, Pretoria",
"Sat, 17 Jun 2000",,,CAN v IRE,27-27,3:3,2-2,Markham,
"Sat, 24 Jun 2000",TO,,AUS v ARG,32-25,3:2,4-1,"Bruce Stadium, Canberra",
"Sat, 24 Jun 2000",ST,1,NZL v SCO,69-20,11:2,5-0,"Carisbrook, Dunedin",
"Sat, 24 Jun 2000",ST,,SAF v ENG,22-27,1:0,1-4,"Vodacom Park, Bloemfontein",
"Sat, 24 Jun 2000",,,TON v SAM,16-13,1:1,4-1,Nuku A'lofa,
"Sat, 01 Jul 2000",ST,2,NZL v SCO,48-14,8:2,5-0,"Eden Park, Auckland",
"Sat, 08 Jul 2000",ST,,SAM v ITA,43-24,5:3,5-0,Apia,
"Sat, 08 Jul 2000",MP,a,AUS v SAF,44-23,5:3,5-0,"Colonial Stadium, Melbourne",
"Sat, 15 Jul 2000",ST,,FIJ v ITA,43-9,5:0,5-0,"National Stadium, Suva",
"Sat, 15 Jul 2000","3N,BC",a,AUS v NZL,35-39,5:5,2-5,"Stadium Australia, Sydney",
"Sat, 22 Jul 2000",3N,,NZL v SAF,25-12,2:0,4-0,"Jade Stadium, Christchurch",
"Sat, 29 Jul 2000",3N,,AUS v SAF,26-6,2:0,4-0,"Stadium Australia, Sydney",
"Sat, 05 Aug 2000","3N,BC",a,NZL v AUS,23-24,2:2,1-4,"Westpac Trust, Wellington",
"Sat, 19 Aug 2000",3N,,SAF v NZL,46-40,6:4,5-2,"Ellis Park, Johannesburg",
"Sat, 26 Aug 2000",3N,,SAF v AUS,18-19,0:1,1-4,"Kings Park Stadium, Durban",
"Sat, 04 Nov 2000",AI,,SCO v USA,53-6,6:0,5-0,"Murrayfield, Edinburgh",
"Sat, 04 Nov 2000",AI,,FRA v AUS,13-18,1:0,1-4,"Stade de France, Paris",
"Sat, 11 Nov 2000","AI,DG",,FRA v NZL,26-39,2:2,0-4,"Stade de France, Paris",
"Sat, 11 Nov 2000",AI,,IRE v JAP,78-9,11:0,5-0,"Lansdowne Rd, Dublin",
"Sat, 11 Nov 2000","AI,HC",,SCO v AUS,9-30,0:3,0-4,"Murrayfield, Edinburgh",
"Sat, 11 Nov 2000",AI,,WAL v SAM,50-6,6:0,5-0,"Millennium Stadium, Cardiff",
"Sat, 11 Nov 2000",AI,,ITA v CAN,17-22,1:1,1-4,Rovigo,
"Sun, 12 Nov 2000",,,ARG v SAF,33-37,3:5,1-5,"River Plate, Buenos Aires",
"Sat, 18 Nov 2000","AI,CC",e,ENG v AUS,22-19,1:1,4-1,"Twickenham, London",
"Sat, 18 Nov 2000",AI,,SCO v SAM,31-8,4:1,5-0,"Murrayfield, Edinburgh",
"Sat, 18 Nov 2000",AI,,WAL v USA,42-11,6:1,5-0,"Millennium Stadium, Cardiff",
"Sat, 18 Nov 2000",AI,,FRA v NZL,42-33,3:3,4-0,Marseille,
"Sat, 18 Nov 2000",AI,,ITA v ROM,37-17,7:2,5-0,Benevento,
"Sun, 19 Nov 2000",AI,,IRE v SAF,18-28,2:3,0-4,"Lansdowne Rd, Dublin",
"Sat, 25 Nov 2000",AI,,ITA v NZL,19-56,2:8,0-5,Genoa,
"Sat, 25 Nov 2000",AI,,ENG v ARG,19-0,1:0,4-0,"Twickenham, London",
"Sun, 26 Nov 2000",AI,,WAL v SAF,13-23,1:2,0-4,"Millennium Stadium, Cardiff",
"Sat, 02 Dec 2000",AI,,ENG v SAF,25-17,1:1,4-0,"Twickenham, London",
"Sat, 03 Feb 2001",6N,1,ITA v IRE,22-41,3:4,0-5,"Stadio Flaminio, Rome",
"Sat, 03 Feb 2001",6N,1,WAL v ENG,15-44,2:6,0-5,"Millennium Stadium, Cardiff",
"Sun, 04 Feb 2001",6N,1,FRA v SCO,16-6,1:0,4-0,"Stade de France, Paris",
"Sat, 17 Feb 2001",6N,2,IRE v FRA,22-15,1:2,4-1,"Lansdowne Rd, Dublin",
"Sat, 17 Feb 2001",6N,2,SCO v WAL,28-28,3:1,2-2,"Murrayfield, Edinburgh",
"Sat, 17 Feb 2001",6N,2,ENG v ITA,80-23,10:2,5-0,"Twickenham, London",
"Sat, 03 Mar 2001","6N,CA",3,ENG v SCO,43-3,6:0,5-0,"Twickenham, London",
"Sat, 03 Mar 2001",6N,3,ITA v FRA,19-30,1:3,0-4,"Stadio Flaminio, Rome",
"Sat, 17 Mar 2001",6N,4,SCO v ITA,23-19,1:1,4-1,"Murrayfield, Edinburgh",
"Sat, 17 Mar 2001",6N,4,FRA v WAL,35-43,2:4,0-5,"Stade de France, Paris",
"Sat, 07 Apr 2001",6N,5,ENG v FRA,48-19,6:1,5-0,"Twickenham, London",
"Sun, 08 Apr 2001",6N,5,ITA v WAL,23-33,1:3,0-4,"Stadio Flaminio, Rome",
"Sat, 19 May 2001",,,ARG v URU,32-27,4:2,5-1,Kingston_CAN,Y
"Wed, 23 May 2001",ST,,ARG v USA,44-16,7:1,5-0,"Mohawk Sports Pk, Hamilton_CAN",Y
"Sat, 02 Jun 2001",,,CAN v ENG,10-22,1:4,0-5,Markham,
"Sat, 02 Jun 2001",,,ROM v IRE,3-37,0:4,0-5,Bucharest,
"Sat, 02 Jun 2001",,,SAM v TON,20-18,2:2,4-1,Apia,
"Sat, 09 Jun 2001",,,CAN v ENG,20-59,2:8,0-5,Burnaby,
"Sun, 10 Jun 2001",,,JAP v WAL,10-64,02:10,0-5,"Hanazono Stadium, Osaka",
"Sat, 16 Jun 2001",ST,,SAF v FRA,23-32,1:2,0-4,"Ellis Park, Johannesburg",
"Sat, 16 Jun 2001",,,NZL v SAM,50-6,7:0,5-0,Albany,
"Sat, 16 Jun 2001",,,USA v ENG,19-48,3:8,0-5,San Francisco,
"Sun, 17 Jun 2001",,,JAP v WAL,30-53,3:9,0-5,"Prince Chichibu Stadium, Tokyo",
"Sat, 23 Jun 2001",ST,,SAF v FRA,20-15,1:0,4-1,"Kings Park Stadium, Durban",
"Sat, 23 Jun 2001",,,NZL v ARG,67-19,10:2,5-0,"Jade Stadium, Christchurch",
"Fri, 29 Jun 2001",,,TON v SAM,14-23,2:2,0-4,Nuku A'lofa,
"Sat, 30 Jun 2001","ST,DG",,NZL v FRA,37-12,4:0,5-0,"Westpac Trust, Wellington",
"Sat, 30 Jun 2001",ST,,SAF v ITA,60-14,8:1,5-0,"Boet Erasmus, Pt Elizabeth",
"Sat, 30 Jun 2001",LT,1,AUS v LIO,13-29,2:4,0-5,"Woolloongabba, Brisbane",
"Sat, 07 Jul 2001",ST,,URU v ITA,3-14,0:1,0-4,Montevideo,
"Sat, 07 Jul 2001",LT,2,AUS v LIO,35-14,3:1,4-0,"Colonial Stadium, Melbourne",
"Sat, 14 Jul 2001",ST,,ARG v ITA,38-17,4:1,5-0,"FC Oeste, Buenos Aires",
"Sat, 14 Jul 2001",LT,3,AUS v LIO,29-23,2:2,4-1,"Stadium Australia, Sydney",
"Sat, 21 Jul 2001",3N,,SAF v NZL,3-12,0:0,0-4,"Newlands, Cape Town",
"Sat, 28 Jul 2001",3N,,SAF v AUS,20-15,1:0,4-1,"Loftus Versfeld, Pretoria",
"Sat, 11 Aug 2001","3N,BC",a,NZL v AUS,15-23,2:2,0-4,"Carisbrook, Dunedin",
"Sat, 18 Aug 2001",3N,,AUS v SAF,14-14,1:1,2-2,"Subiaco Oval, Perth_AUS",
"Sat, 25 Aug 2001",3N,,NZL v SAF,26-15,2:0,4-0,"Eden Park, Auckland",
"Sat, 01 Sep 2001","3N,BC",a,AUS v NZL,29-26,2:2,4-1,"Stadium Australia, Sydney",
"Wed, 19 Sep 2001",,,WAL v ROM,81-9,11:0,5-0,"Millennium Stadium, Cardiff",
"Sat, 22 Sep 2001",6N,5,SCO v IRE,32-10,4:1,5-0,"Murrayfield, Edinburgh",
"Sat, 13 Oct 2001",6N,3,WAL v IRE,6-36,0:3,0-4,"Millennium Stadium, Cardiff",
"Sat, 20 Oct 2001",6N,4,IRE v ENG,20-14,1:1,4-1,"Lansdowne Rd, Dublin",
"Thu, 01 Nov 2001",,,SPA v AUS,10-92,01:13,0-5,Madrid,
"Sat, 10 Nov 2001","AI,CC",e,ENG v AUS,21-15,0:2,4-1,"Twickenham, London",
"Sat, 10 Nov 2001",AI,,ITA v FIJ,66-10,7:1,5-0,Treviso,
"Sat, 10 Nov 2001",AI,,SCO v TON,43-20,4:1,5-0,"Murrayfield, Edinburgh",
"Sat, 10 Nov 2001",AI,,WAL v ARG,16-30,1:2,0-4,"Millennium Stadium, Cardiff",
"Sat, 10 Nov 2001",AI,,FRA v SAF,20-10,1:1,4-0,"Stade de France, Paris",
"Sun, 11 Nov 2001",AI,,IRE v SAM,35-8,4:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 17 Nov 2001",AI,,ITA v SAF,26-54,2:8,0-5,Genoa,
"Sat, 17 Nov 2001",AI,,IRE v NZL,29-40,3:6,0-5,"Lansdowne Rd, Dublin",
"Sat, 17 Nov 2001",AI,,WAL v TON,51-7,6:1,5-0,"Millennium Stadium, Cardiff",
"Sat, 17 Nov 2001",AI,,ENG v ROM,134-0,20:0,5-0,"Twickenham, London",
"Sat, 17 Nov 2001",AI,,FRA v AUS,14-13,1:1,4-1,Marseille,
"Sun, 18 Nov 2001",AI,,SCO v ARG,16-25,2:1,0-4,"Murrayfield, Edinburgh",
"Sat, 24 Nov 2001",AI,,SCO v NZL,6-37,0:3,0-4,"Murrayfield, Edinburgh",
"Sat, 24 Nov 2001",AI,,ENG v SAF,29-9,1:0,4-0,"Twickenham, London",
"Sat, 24 Nov 2001",AI,,FRA v FIJ,77-10,12:1,5-0,St Etienne,
"Sat, 24 Nov 2001",AI,,ITA v SAM,9-17,0:1,0-4,L'Aquila,
"Sun, 25 Nov 2001",AI,,WAL v AUS,13-21,1:0,0-4,"Millennium Stadium, Cardiff",
"Sat, 01 Dec 2001",,,ARG v NZL,20-24,2:2,1-4,"River Plate, Buenos Aires",
"Sat, 01 Dec 2001",,,USA v SAF,20-43,1:6,0-5,Houston,
"Sat, 02 Feb 2002","6N,CA",1,SCO v ENG,3-29,0:4,0-5,"Murrayfield, Edinburgh",
"Sat, 02 Feb 2002",6N,1,FRA v ITA,33-12,2:0,4-0,"Stade de France, Paris",
"Sun, 03 Feb 2002",6N,1,IRE v WAL,54-10,6:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 16 Feb 2002",6N,2,ITA v SCO,12-29,0:2,0-4,"Stadio Flaminio, Rome",
"Sat, 16 Feb 2002",6N,2,WAL v FRA,33-37,3:3,1-4,"Millennium Stadium, Cardiff",
"Sat, 16 Feb 2002",6N,2,ENG v IRE,45-11,6:1,5-0,"Twickenham, London",
"Sat, 02 Mar 2002",6N,3,IRE v SCO,43-22,5:1,5-0,"Lansdowne Rd, Dublin",
"Sat, 02 Mar 2002",6N,3,WAL v ITA,44-20,5:2,5-0,"Millennium Stadium, Cardiff",
"Sat, 02 Mar 2002",6N,3,FRA v ENG,20-15,2:2,4-1,"Stade de France, Paris",
"Sat, 23 Mar 2002",6N,4,IRE v ITA,32-17,3:2,4-0,"Lansdowne Rd, Dublin",
"Sat, 23 Mar 2002",6N,4,SCO v FRA,10-22,1:3,0-4,"Murrayfield, Edinburgh",
"Sat, 23 Mar 2002",6N,4,ENG v WAL,50-10,5:1,5-0,"Twickenham, London",
"Sat, 06 Apr 2002",6N,5,WAL v SCO,22-27,1:2,1-4,"Millennium Stadium, Cardiff",
"Sat, 06 Apr 2002",6N,5,FRA v IRE,44-5,5:1,5-0,"Stade de France, Paris",
"Sun, 07 Apr 2002",6N,5,ITA v ENG,9-45,0:6,0-5,"Stadio Flaminio, Rome",
"Sat, 04 May 2002",,,ARG v CHL,57-13,9:1,5-0,Mendoza,
"Sat, 08 Jun 2002",ST,,NZL v ITA,64-10,9:1,5-0,"Waikato Stadium, Hamilton",
"Sat, 08 Jun 2002",ST,,SAF v WAL,34-19,5:2,5-0,"Vodacom Park, Bloemfontein",
"Sat, 15 Jun 2002",ST,1,NZL v IRE,15-6,2:0,4-0,"Carisbrook, Dunedin",
"Sat, 15 Jun 2002",ST,,ARG v FRA,28-27,3:3,4-1,"Velez Sarsfield, Buenos Aires",
"Sat, 15 Jun 2002",ST,,SAF v WAL,19-8,2:1,4-0,"Newlands, Cape Town",
"Sat, 15 Jun 2002",,,CAN v SCO,26-23,2:3,4-1,Vancouver,
"Sat, 15 Jun 2002",WQ,,TON v SAM,16-25,2:4,0-5,Nuku A'lofa,
"Sat, 22 Jun 2002",ST,,ARG v ENG,18-26,0:2,0-4,"Velez Sarsfield, Buenos Aires",
"Sat, 22 Jun 2002",ST,2,NZL v IRE,40-8,5:1,5-0,"Eden Park, Auckland",
"Sat, 22 Jun 2002",ST,,AUS v FRA,29-17,2:1,4-0,"Colonial Stadium, Melbourne",
"Sat, 22 Jun 2002",,,USA v SCO,23-65,02:10,0-5,San Francisco,
"Fri, 28 Jun 2002",WQ,,SAM v TON,31-13,3:1,4-0,Apia,
"Sat, 29 Jun 2002",ST,,AUS v FRA,31-25,4:3,5-1,"Stadium Australia, Sydney",
"Sat, 29 Jun 2002",,,SAF v ARG,49-29,6:2,5-0,Springs,
"Sat, 29 Jun 2002",,,NZL v FIJ,68-18,11:2,5-0,"Westpac Trust, Wellington",
"Sat, 06 Jul 2002",,,SAF v SAM,60-18,8:3,5-0,"Loftus Versfeld, Pretoria",
"Sat, 13 Jul 2002","3N,BC",a,NZL v AUS,12-6,0:0,4-1,"Jade Stadium, Christchurch",
"Sat, 20 Jul 2002",3N,,NZL v SAF,41-20,5:2,5-0,"Westpac Trust, Wellington",
"Sat, 27 Jul 2002",3N,,AUS v SAF,38-27,4:4,5-1,"Woolloongabba, Brisbane",
"Sat, 03 Aug 2002","3N,BC",a,AUS v NZL,16-14,2:1,4-1,"Stadium Australia, Sydney",
"Sat, 10 Aug 2002",3N,,SAF v NZL,23-30,2:4,1-5,"Kings Park Stadium, Durban",
"Sat, 17 Aug 2002","3N,MP",s,SAF v AUS,33-31,5:3,5-1,"Ellis Park, Johannesburg",
"Sat, 07 Sep 2002",WQ,,IRE v ROM,39-8,5:1,5-0,"Thomond Park, Limerick",
"Sat, 21 Sep 2002",WQ,,RUS v IRE,3-35,0:4,0-5,Krasnoyarsk,
"Sun, 22 Sep 2002",WQ,,SPA v ITA,3-50,0:7,0-5,Valladolid,
"Sat, 28 Sep 2002",WQ,,IRE v GEO,63-14,8:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 28 Sep 2002",WQ,,ITA v ROM,25-17,1:2,4-0,"Stade Comunale, Parma",
"Fri, 01 Nov 2002",AI,,WAL v ROM,40-3,4:0,5-0,Wrexham,
"Sat, 02 Nov 2002",,,ARG v AUS,6-17,0:1,0-4,"River Plate, Buenos Aires",
"Sat, 09 Nov 2002",AI,,IRE v AUS,18-9,0:0,4-0,"Lansdowne Rd, Dublin",
"Sat, 09 Nov 2002",AI,,SCO v ROM,37-10,5:1,5-0,"Murrayfield, Edinburgh",
"Sat, 09 Nov 2002",AI,,WAL v FIJ,58-14,7:2,5-0,"Millennium Stadium, Cardiff",
"Sat, 09 Nov 2002",AI,,ENG v NZL,31-28,3:4,4-2,"Twickenham, London",
"Sat, 09 Nov 2002",AI,,FRA v SAF,30-10,2:1,4-0,Marseille,
"Sat, 16 Nov 2002","AI,DG",,FRA v NZL,20-20,2:2,2-2,"Stade de France, Paris",
"Sat, 16 Nov 2002","AI,CC",e,ENG v AUS,32-31,2:3,4-1,"Twickenham, London",
"Sat, 16 Nov 2002",AI,,ITA v ARG,6-36,0:5,0-5,"Stadio Flaminio, Rome",
"Sat, 16 Nov 2002",AI,,SCO v SAF,21-6,2:0,4-0,"Murrayfield, Edinburgh",
"Sat, 16 Nov 2002",AI,,WAL v CAN,32-21,2:0,4-0,"Millennium Stadium, Cardiff",
"Sun, 17 Nov 2002",AI,,IRE v FIJ,64-17,9:2,5-0,"Lansdowne Rd, Dublin",
"Sat, 23 Nov 2002",AI,,ITA v AUS,3-34,0:5,0-5,Genoa,
"Sat, 23 Nov 2002",AI,,IRE v ARG,16-7,1:1,4-0,"Lansdowne Rd, Dublin",
"Sat, 23 Nov 2002",AI,,WAL v NZL,17-43,2:4,0-5,"Millennium Stadium, Cardiff",
"Sat, 23 Nov 2002",AI,,ENG v SAF,53-3,7:0,5-0,"Twickenham, London",
"Sat, 23 Nov 2002",AI,,FRA v CAN,35-3,4:0,5-0,"Stade de France, Paris",
"Sun, 24 Nov 2002",AI,,SCO v FIJ,36-22,5:2,5-0,"Murrayfield, Edinburgh",
"Sat, 15 Feb 2003",6N,1,ITA v WAL,30-22,3:3,4-0,"Stadio Flaminio, Rome",
"Sat, 15 Feb 2003",6N,1,ENG v FRA,25-17,1:3,4-0,"Twickenham, London",
"Sun, 16 Feb 2003",6N,1,SCO v IRE,6-36,0:3,0-4,"Murrayfield, Edinburgh",
"Sat, 22 Feb 2003",6N,2,ITA v IRE,13-37,1:5,0-5,"Stadio Flaminio, Rome",
"Sat, 22 Feb 2003",6N,2,WAL v ENG,9-26,0:2,0-4,"Millennium Stadium, Cardiff",
"Sun, 23 Feb 2003",6N,2,FRA v SCO,38-3,4:0,5-0,"Stade de France, Paris",
"Sat, 08 Mar 2003",6N,3,IRE v FRA,15-12,0:0,4-1,"Lansdowne Rd, Dublin",
"Sat, 08 Mar 2003",6N,3,SCO v WAL,30-22,3:3,4-0,"Murrayfield, Edinburgh",
"Sun, 09 Mar 2003",6N,3,ENG v ITA,40-5,6:1,5-0,"Twickenham, London",
"Sat, 22 Mar 2003","6N,CA",4,ENG v SCO,40-9,4:0,5-0,"Twickenham, London",
"Sat, 22 Mar 2003",6N,4,WAL v IRE,24-25,3:2,1-4,"Millennium Stadium, Cardiff",
"Sun, 23 Mar 2003",6N,4,ITA v FRA,27-53,4:7,1-5,"Stadio Flaminio, Rome",
"Sat, 29 Mar 2003",6N,5,SCO v ITA,33-25,4:3,5-0,"Murrayfield, Edinburgh",
"Sat, 29 Mar 2003",6N,5,FRA v WAL,33-5,3:1,4-0,"Stade de France, Paris",
"Sun, 30 Mar 2003",6N,5,IRE v ENG,6-42,0:5,0-5,"Lansdowne Rd, Dublin",
"Sat, 07 Jun 2003",ST,,SAF v SCO,29-25,2:3,4-1,"Kings Park Stadium, Durban",
"Sat, 07 Jun 2003",ST,,AUS v IRE,45-16,6:1,5-0,"Subiaco Oval, Perth_AUS",
